1,ПРИМОРСКАЯ ЛИНИЯ
2,КУРОРТНАЯ ЛИНИЯ
3,НЕВСКАЯ ЛИНИЯ
4,ЦЕНТРАЛЬНАЯ ЛИНИЯ
1БО,Приморская линия (БО Ритм)
193,АС "СЧАСТЛИВАЯ УЛ." - ГЕОЛОГИЧЕСКАЯ УЛ.
191/,Р.Оккервиль - СТ.Метро"ПЕТРОГРАДСКАЯ"
7/,МОСКОВСКИЙ ВОКЗАЛ - Исаакиевская пл.
10/,А.С."КРЕСТОВСКИЙ ОСТРОВ" - БАЛТИЙСКИЙ ВОКЗАЛ
С-1,СТ.М."ДЕВЯТКИНО"-СТ.М."ПР.ВЕТЕРАНОВ"
С-2,СТ. М. "КУПЧИНО" - СТ. М. "ПАРНАС"
8 А,Уткина Заводь- ст. метро "Ломоносовская"
351Б,'Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ'
А-2,'Петродворец, Университет - Ст. м. "Пр. Ветеранов"'
194,ООО "Хендэ Мотор  Мануфактуринг Рус" - ст. метро "Комендантский пр."
2/,Театральная пл. - пл. Стачек.
385,'«г.Пушкин, Оранжерейная ул. – пос. Шушары, Вишерская ул.»  '
47А,А.С.УЛ. "ШАВРОВА" - СТ. МЕТРО "ПИОНЕРСКАЯ"
217,'СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - СОЛНЕЧНОЕ -2'
138,СТ.МЕТРО "ПЛОЩАДЬ МУЖЕСТВА" - КРЕМАТОРИЙ
136,АВТОБУСНАЯ СТАНЦИЯ "РУЧЬИ" - ПЛ. РАСТРЕЛЛИ
22,УЛ. СТАСОВОЙ - ДВИНСКАЯ УЛ.
137,АВТОБУСНАЯ СТАНЦИЯ "ПИСКАРЁВКА" - СТ. МЕТРО "ЧЁРНАЯ РЕЧКА"
174,БЕЛОРУССКАЯ УЛ. - ГРАНИТНАЯ УЛ.
102,'АВТОБУСНАЯ СТАНЦИЯ "ПР. КУЛЬТУРЫ"-ХАСАНСКАЯ УЛ., ТК "ЛЕНТА"'
153,'АВТОБУСНАЯ СТАНЦИЯ "ПР. КУЛЬТУРЫ" - ХАСАНСКАЯ УЛ., ТК "ЛЕНТА"'
15,БЕЛОРУССКАЯ УЛ. - ПЛ. ВОССТАНИЯ
30,'СТ.МЕТРО "ЛАДОЖСКАЯ"-РЯБОВСКОЕ ШОССЕ, 117'
77,БЕЛОРУССКАЯ УЛ. - СТ. МЕТРО "ЛАДОЖСКАЯ"
